Juego; Calificacion Critico; Calificacion Usuario; Promedio
Yo-kai Watch Blasters: Red Cat Corps;67;6.8;36
Yo-kai Watch Blasters: White Dog Squad;67;7.1;37
WarioWare Gold;78;8.2;43
Go Vacation;62;7.7;34
Xenoblade Chronicles 2: New Quests Pack 4;;8.3;0
Captain Toad: Treasure Tracker;82;7.9;44
Captain Toad: Treasure Tracker;79;7.0;43
Octopath Traveler;83;8.4;45
Mario Tennis Aces;75;7.0;41
Arcade Archives: Donkey Kong;82;7.7;44
Splatoon 2: Octo Expansion;82;8.5;45
Xenoblade Chronicles 2: Battle Challenge Mode Pack;;8.9;0
Sushi Striker: The Way of Sushido;;6.6;0
Sushi Striker: The Way of Sushido;76;7.7;41
Pokemon Quest;62;4.1;33
Pokemon Quest;64;6.0;35
Xenoblade Chronicles 2: New Quests Pack 3;;8.9;0
Dillon's Dead-Heat Breakers;69;7.7;38
Hyrule Warriors: Definitive Edition;78;7.9;42
Donkey Kong Country: Tropical Freeze;86;8.6;47
Nintendo Labo: Toycon 01 Variety Kit;77;6.9;41
Nintendo Labo: Toycon 02 Robot Kit;68;6.5;37
Arcade Archives: Punch-Out!;;7.5;0
Xenoblade Chronicles 2: New Quests Pack 2;;8.9;0
Fire Emblem Warriors: Awakening Pack;;;0
Detective Pikachu;71;7.4;39
Kirby Star Allies;73;7.5;40
Kirby Star Allies Demo;;6.6;0
Bayonetta + Bayonetta 2;90;8.7;49
Bayonetta 2;92;8.6;50
Bayonetta;84;8.3;46
Fire Emblem Warriors: Shadow Dragon Pack;;;0
Fire Emblem Warriors: Shadow Dragon Pack;;;0
Dragon Quest Builders;81;8.0;44
Pokken Tournament DX: Battle Pack;;6.6;0
Xenoblade Chronicles 2: New Quests Pack 1;;7.5;0
Kirby Battle Royale;57;7.0;32
Style Savvy: Styling Star;80;7.6;43
Arcade Archives: Vs. Super Mario Bros.;;7.2;0
Fire Emblem Warriors: Fates Pack;;7.6;0
Fire Emblem Warriors: Fates Pack;;9.1;0
The Legend of Zelda: Breath of the Wild - The Champions' Ballad;81;8.5;44
The Legend of Zelda: Breath of the Wild - The Champions' Ballad;;9.0;0
Xenoblade Chronicles 2;83;8.5;45
Animal Crossing: Pocket Camp;72;6.8;39
Pokemon Ultra Sun;84;7.7;45
Pokemon Ultra Moon;84;7.6;45
Pokemon Ultra Sun & Pokemon Ultra Moon Veteran Trainer's Dual Pack;;6.3;0
Ittle Dew 2+;77;7.8;42
Mario Party: The Top 100;59;6.2;32
Snipperclips Plus: Cut It Out, Together!;84;8.0;46
Super Mario Odyssey;97;8.9;52
Fire Emblem Warriors;69;7.8;38
Fire Emblem Warriors;74;7.7;40
Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy;72;6.3;39
Mario & Luigi: Superstar Saga + Bowser's Minions;81;8.2;44
Yo-kai Watch 2: Psychic Specters;73;8.5;40
Hive Jump;;;0
Monster Hunter Stories: The Legend of Zelda;;;0
Arcade Archives: Mario Bros.;;6.7;0
Dragon Ball: Xenoverse 2;75;7.5;41
Pokken Tournament DX;79;7.3;43
Metroid: Samus Returns;85;8.7;46
ARMS: Lola Pop;;;0
Monster Hunter Stories;79;8.2;43
Sine Mora EX;70;7.2;38
Hey! Pikmin;69;6.6;37
Miitopia;67;7.9;37
Splatoon 2;83;8.4;45
